"";"V1"
"668";"Ctsh"
"669";"Ctsl"
"670";"Ctss"
"671";"Ctsw"
"672";"Ctsz"
"673";"Cttn"
"674";"Cul4a"
"675";"Cul9"
"676";"Cutc"
"677";"Cx3cr1"
"678";"Cxcl10"
"679";"Cxcl16"
"680";"Cxcl2"
"681";"Cxcr2"
"682";"Cxcr3"
"683";"Cxcr5"
"684";"Cxcr6"
"685";"Cxxc5"
"686";"Cyb5a"
"687";"Cyb5r3"
"688";"Cyba"
"689";"Cybb"
"690";"Cyc1"
"691";"Cycs"
"692";"Cyhr1"
"693";"Cym"
"694";"Cyp11a1"
"695";"Cyp27a1"
"696";"Cyp39a1"
"697";"Cyp4f18"
"698";"Cyth3"
"699";"D030056L22Rik"
"700";"D630023F18Rik"
"701";"Daam1"
"702";"Dab2"
"703";"Dach1"
"704";"Dap3"
"705";"Dapk2"
"706";"Dapl1"
"707";"Dapp1"
"708";"Dbf4"
"709";"Dbi"
"710";"Dck"
"711";"Dcp1b"
"712";"Dctpp1"
"713";"Ddah2"
"714";"Ddias"
"715";"Ddit4"
"716";"Ddost"
"717";"Ddt"
"718";"Ddx1"
"719";"Ddx18"
"720";"Ddx21"
"721";"Ddx27"
"722";"Ddx46"
"723";"Ddx51"
"724";"Ddx56"
"725";"Ddx58"
"726";"Ddx60"
"727";"Dek"
"728";"Dennd5b"
"729";"Depdc1a"
"730";"Deptor"
"731";"Derl1"
"732";"Derl3"
"733";"Desi1"
"734";"Dgat2"
"735";"Dhcr24"
"736";"Dhfr"
"737";"Dhrs11"
"738";"Dhrs3"
"739";"Dhrs4"
"740";"Dhrs9"
"741";"Dhx29"
"742";"Dhx58"
"743";"Diablo"
"744";"Diaph2"
"745";"Diaph3"
"746";"Dio2"
"747";"Dis3"
"748";"Dkc1"
"749";"Dkkl1"
"750";"Dlat"
"751";"Dlg2"
"752";"Dlst"
"753";"Dmkn"
"754";"Dmtn"
"755";"Dmwd"
"756";"Dna2"
"757";"Dnaaf2"
"758";"Dnah8"
"759";"Dnaja3"
"760";"Dnaja4"
"761";"Dnajb2"
"762";"Dnajb3"
"763";"Dnajc11"
"764";"Dnajc19"
"765";"Dnajc2"
"766";"Dnajc21"
"767";"Dnajc25"
"768";"Dnajc3"
"769";"Dnajc7"
"770";"Dnajc9"
"771";"Dnase2a"
"772";"Dnm3"
"773";"Dnmt1"
"774";"Dnph1"
"775";"Dntt"
"776";"Dnttip2"
"777";"Dock10"
